subway_id,name,address,lat,lng,waze,business_hours
334,Subway Sultan Ibrahim Stadium,"Lot Zone C 01-04, Stadium Sultan Ibrahim, Jalan Gelang Patah, 79200 Iskandar Puteri, Johor Bahru",1.4817,103.619228,"https://waze.com/ul?ll=1.481700,103.619228",Monday - Sunday (10:00AM - 10:00PM)
335,Subway Golden Triangle,"29-1-64, Golden Triangle, Jalan Paya Terubong, 11900 Bayan Lepas, Pulau Pinang",5.333125,100.275576,"https://waze.com/ul?ll=5.333125,100.275576",Monday - Sunday (8:00AM - 9:00PM)
336,Subway Batu 3 Gambang,"B 30 Jalan Kurnia Jaya 3,Batu 3, Jalan Gambang, 25150 Kuantan, Pahang Darul Makmur",3.782041,103.287223,"https://waze.com/ul?ll=3.782041,103.287223",Monday - Sunday (9:00AM - 10:00PM) 
337,Subway KIP Kota Warisan,"G13 & 13A, Kip Mall, Kota Warisan, 43900 Sepang, Selangor, Malaysia",2.834608,101.694666,"https://waze.com/ul?ll=2.834608,101.694666",Monday - Sunday (10:00AM - 10:00PM)
338,Subway Taman Ehsan,"No 520(GF) Jalan E3/8, Tmn Ehsan, 52100 Kepong, Selangor",3.220409,101.622847,"https://waze.com/ul?ll=3.220409,101.622847",Monday - Sunday (8:00AM - 10:00PM)
339,"Lotus's Indera Mahkota","G1, Lotus’S Indera Mahkota, Lot 144749, Lot 144746 & Lot 144045, Off Jalan Tun Razak Mukim Kuala Kuantan, Daerah Kuantan, 25200 Kuantan Pahang",3.827265,103.304433,"https://waze.com/ul?ll=3.827265,103.304433",Monday - Sunday (10:00AM - 10:00PM)
340,Subway Taman Sri Muda,"No 40 (GF), Jalan Murni 25/61, Taman Sri Muda, 40400 Shah Alam, Selangor",3.032726,101.536497,"https://waze.com/ul?ll=3.032726,101.536497",Monday - Sunday (8:00AM - 10:00PM)
341,Subway Pantai Batu Buruk,"Partial of Bangunan Kelab Kerajaan Pantai Batu Buruk, Jalan Pantai Batu Buruk, 20400 Kuala Terengganu, Terengganu.",5.324181,103.154071,"https://waze.com/ul?ll=5.324181,103.154071",Monday - Sunday (10:00AM - 10:00PM)
342,Subway Kangar Jaya,"Lot PT2269, Kangar Jaya, Mukim Seriab, Kangar, 01000 Perlis",6.4065,100.179757,"https://waze.com/ul?ll=6.406500,100.179757",Monday - Sunday (8:00AM - 11:00PM)
343,Subway Kota Laksamana,"No 46(GF) Jln KLJ, Taman Kota Laksamana Jaya, 75200 Melaka.",2.19893,102.230893,"https://waze.com/ul?ll=2.198930,102.230893",Monday - Sunday (8:00AM - 10:00PM)
344,Subway 1st Avenue,"LG-08 1st Avenue Mall, 182 Jalan Magazine, 10300 Penang.",5.41331,100.33114,"https://waze.com/ul?ll=5.413310,100.331140",Monday - Sunday (10:00AM - 10:00PM)
345,Subway Mid Valley KL,"1st Floor, Zone 3, Kiosk FK-05, Mid Valley Megamall,  Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur",3.118753,101.677459,"https://waze.com/ul?ll=3.118753,101.677459",Monday - Sunday (8:00AM - 10:00PM)
346,Subway Lotus Ampang,"LOTUS’S AMPANG - OL1, Jalan Pandan Prima Dataran, Pandan Indah, 55100 Kuala Lumpur",3.143814,101.74163,"https://waze.com/ul?ll=3.143814,101.741630",Monday - Sunday (10:00AM - 10:00PM);  
347,Subway The Artiz JB,"No 25(GF) Jln Setia 3/13, Tmn Setia Indah, 81100 JB",1.576539,103.758845,"https://waze.com/ul?ll=1.576539,103.758845",Monday - Sunday (08:00AM - 10:00PM)
348,Subway Setia Tropika,"No 18 Jln Setia Tropika 1/18, Tmn Setia Tropika, 81200 JB",1.547172,103.715609,"https://waze.com/ul?ll=1.547172,103.715609",Monday - Sunday (08:00AM - 10:00PM)
349,Subway Razak City,"Block B-G-19 Residensi Bandar Razak, No 01 Jln Razak Mansion, 57100 Sungai Besi, K.L",3.108465,101.706308,"https://waze.com/ul?ll=3.108465,101.706308",Monday - Sunday (08:00AM to 10:00PM)
350,Subway C-Mart Changlun,"G 14, 15, 16, C- Mart @  Komplek Changloon, No 1, Pekan Changlun, Changloon,  Taman Kempas, 06010 Changlun, Kedah",6.435389,100.43025,"https://waze.com/ul?ll=6.435389,100.430250",Monday to Sunday (10:00AM - 10:00PM)
351,Subway Aeon Cheras Selatan,"F60, First Floor, ÆON Cheras Selatan, Lebuh Utama Tun Hussein Onn, Tun Hussein Onn, Cheras, Selangor",3.033015,101.765206,"https://waze.com/ul?ll=3.033015,101.765206",Monday to Sunday (10:00AM - 10:00PM)
352,Subway Bandar Baru Jelawat ,"PT 4359 (B) Kedai Jelawat, Bandar Baru Jelawat, 16070 Bachok, Kelantan.",6.011177,102.381749,"https://waze.com/ul?ll=6.011177,102.381749",Monday - Sunday (08:00 AM - 10:00PM) 
353,Subway Lumut Indah,"No 21(GF) Jln Lumut Indah 2/1, Tmn Lumut Indah, 32200 Lumut, Perak.",4.208528,100.638146,"https://waze.com/ul?ll=4.208528,100.638146",Monday - Sunday (08:00AM - 10:00PM)
354,Subway Cahaya Kota Puteri,"No 07(GF) Jln Kota 2, Taman Cahaya Kota Puteri, 81750 Masai, Johor.",1.49429,103.843649,"https://waze.com/ul?ll=1.494290,103.843649",Monday to Sunday (08:00AM - 10:00PM)
355,Subway Kuala Krai,"No 18(GF) Jln lf 1, Laman Firdaus, Bandar Baru Kuala Krai, 18000 Kuala Krai, Kelantan.",5.494022,102.223109,"https://waze.com/ul?ll=5.494022,102.223109",Monday to Sunday (08:00AM - 10:00PM)
356,Taman Nusa Bestari,"No 26(GF) Jln Jati 1, Taman Nusa Bestari, 81200 Skudai, Johor.",1.499214,103.655946,"https://waze.com/ul?ll=1.499214,103.655946",Monday - Sunday (08:00AM - 10:00PM)
357,Subway Kuala Berang,"No 292(GF) Jln Besar Kuala Berang, 21700 Kuala Berang, Hulu Terengganu, Terengganu.",5.07283,103.01066,"https://waze.com/ul?ll=5.072830,103.010660",Monday - Sunday (08:00AM - 10:00PM)
358,Subway Sg Udang,"No 06(GF) Jln Kerambit 1A, Bandar Baru, 76450 Sg. Udang, Melaka.",2.290353,102.138712,"https://waze.com/ul?ll=2.290353,102.138712",Monday - Sunday (08:00AM - 10:00PM)
359,Subway Kiara Bay,"""Lot G-22, The Beat Kiara Bay Kepong Metropolitan Park,Jalan Lingkaran Tengah 52100 Kuala Lumpur.""",3.226999,101.650259,"https://waze.com/ul?ll=3.226999,101.650259",Monday - Sunday (10:00AM - 10:00PM)
360,Subway Mahkota Square Kuantan,"""G-10, Tingkat Bawah, Mahkota Square, Jalan Mahkota  25000 Kuantan, Pahang.""",3.806067,103.327962,"https://waze.com/ul?ll=3.806067,103.327962",Monday - Sunday (08:00AM - 10:00PM)
361,Subway Putra Ampang,"No 46-G, Jalan Bunga Tanjung 9B, Taman Putra, Ampang 68000, Selangor ",3.120457,101.762861,"https://waze.com/ul?ll=3.120457,101.762861",Monday - Sunday (08:00AM - 10:00PM)
362,Subway Sunggala Gateway,"PD Sunggala Gatewa3 No 4, Lot 2031, Taman Sri Rusa Jaya,71050 Port Dickson, Negeri Sembilan",2.476273,101.855712,"https://waze.com/ul?ll=2.476273,101.855712",Monday - Sunday (09:00AM - 10:00PM)
363,Subway Sunway Carnival,"LG-31, Lower Ground Floor, Sunway Carnival Mall, 3068, Jalan Todak, Pusat Bandar Seberang Jaya, 13700 Perai, Pulau Pinang",5.399101,100.397841,"https://waze.com/ul?ll=5.399101,100.397841",Monday - Sunday (9:00AM - 10:00PM)
364,Subway Bangi Seksyen 7,"No.19-G, Jalan 7/7A, Seksyen 7, Bandar Baru Bangi, 43650 Selangor",2.969764,101.773828,"https://waze.com/ul?ll=2.969764,101.773828",Monday - Sunday (08:00AM - 10:00PM)
